Timestamp,Day of Year,Plot,Alfalfa variety,Plant height (cm),Total Solar Radiation (kW-hr/m2),Irrig. Treatment (%),Average Air Temperature (Deg C),Ave. SWD (%),Growth stage,Relative Humidity (%),Total Precipitation (mm),Irrig. amount (in),Leaf Area Index (LAI),Fall Dormancy*,Winterhardiness**,Average Wind Speed (m/s),Dry yield (ton/ha),experiment_info,location,year
1997-02-18,49.0,NE,Pioneer 5454,,,100,9.347,,,69.665,0.0,,,4.0,2.2,4.698,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-19,50.0,NE,Pioneer 5454,,,100,4.219,,,99.131,2.991,,,4.0,2.2,5.195,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-20,51.0,NE,Pioneer 5454,,,100,5.259,,,99.911,0.159,,,4.0,2.2,3.897,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-21,52.0,NE,Pioneer 5454,,,100,2.065,,,61.435,0.0,,,4.0,2.2,5.691,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-22,53.0,NE,Pioneer 5454,,,100,1.379,,,57.609,0.0,,,4.0,2.2,2.838,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-23,54.0,NE,Pioneer 5454,,,100,2.738,,,66.323,0.102,,,4.0,2.2,5.013,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-24,55.0,NE,Pioneer 5454,,,100,-5.039,,,90.636,0.0,,,4.0,2.2,7.104,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-25,56.0,NE,Pioneer 5454,,,100,,,,,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-26,57.0,NE,Pioneer 5454,,,100,-2.431,,,95.701,0.0,,,4.0,2.2,3.89,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-27,58.0,NE,Pioneer 5454,,,100,1.648,,,76.457,0.0,,,4.0,2.2,5.623,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-28,59.0,NE,Pioneer 5454,,,100,6.788,,,77.471,0.0,,,4.0,2.2,6.002,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-01,60.0,NE,Pioneer 5454,,,100,2.302,,,70.57,0.0,,,4.0,2.2,4.307,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-02,61.0,NE,Pioneer 5454,,,100,3.229,,,57.45,0.0,,,4.0,2.2,4.479,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-03,62.0,NE,Pioneer 5454,,,100,10.389,,,33.654,0.0,,,4.0,2.2,5.251,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-04,63.0,NE,Pioneer 5454,,,100,5.379,,,53.324,0.0,,,4.0,2.2,3.572,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-05,64.0,NE,Pioneer 5454,,,100,1.855,,,54.992,0.0,,,4.0,2.2,3.419,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-06,65.0,NE,Pioneer 5454,,,100,5.893,,,39.064,0.0,,,4.0,2.2,6.727,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-07,66.0,NE,Pioneer 5454,,,100,9.06,,,33.178,0.0,,,4.0,2.2,3.741,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-08,67.0,NE,Pioneer 5454,,,100,,,,,0.0,,,4.0,2.2,5.777,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-09,68.0,NE,Pioneer 5454,,,100,9.295,,,57.343,0.0,,,4.0,2.2,5.199,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-10,69.0,NE,Pioneer 5454,,,100,10.005,,,41.401,0.0,,,4.0,2.2,4.172,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-11,70.0,NE,Pioneer 5454,,,100,11.745,,,36.28,0.0,,,4.0,2.2,2.829,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-12,71.0,NE,Pioneer 5454,,,100,12.691,,,70.864,0.0,,,4.0,2.2,4.957,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-13,72.0,NE,Pioneer 5454,,,100,8.817,58.27,,72.678,13.857,0.5457599999999998,,4.0,2.2,6.862,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-14,73.0,NE,Pioneer 5454,,,100,-0.712,,,50.281,0.0,,,4.0,2.2,6.167,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-15,74.0,NE,Pioneer 5454,,,100,1.719,,,49.766,0.0,,,4.0,2.2,6.065,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-16,75.0,NE,Pioneer 5454,,,100,9.23,,,63.038,0.0,,,4.0,2.2,6.773,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-17,76.0,NE,Pioneer 5454,,,100,15.033,,,48.122,0.0,,,4.0,2.2,5.776,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-18,77.0,NE,Pioneer 5454,,,100,11.373,,,46.216,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-19,78.0,NE,Pioneer 5454,,,100,11.241,,,46.553,24.34,0.9592320000000004,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-20,79.0,NE,Pioneer 5454,,,100,16.34,,,29.318,0.0,,,4.0,2.2,2.401,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-21,80.0,NE,Pioneer 5454,,,100,16.537,,,33.099,0.0,,,4.0,2.2,5.325,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-22,81.0,NE,Pioneer 5454,,,100,9.555,,,43.427,0.0,,,4.0,2.2,2.813,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-23,82.0,NE,Pioneer 5454,,,100,13.202,,,44.922,0.0,,,4.0,2.2,6.072,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-24,83.0,NE,Pioneer 5454,,,100,14.96,,,39.143,0.0,,,4.0,2.2,8.38,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-25,84.0,NE,Pioneer 5454,,,100,5.134,,,50.689,23.152,0.9114880000000002,,4.0,2.2,6.497,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-26,85.0,NE,Pioneer 5454,,,100,7.835,,,46.112,0.0,,,4.0,2.2,3.987,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-27,86.0,NE,Pioneer 5454,,,100,12.41,,,48.821,0.0,,,4.0,2.2,7.728,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-28,87.0,NE,Pioneer 5454,,,100,11.362,,,38.08,0.0,,,4.0,2.2,4.247,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-29,88.0,NE,Pioneer 5454,,,100,10.579,,,49.247,0.0,,,4.0,2.2,6.753,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-30,89.0,NE,Pioneer 5454,,,100,6.099,,,52.348,0.0,,,4.0,2.2,2.56,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-03-31,90.0,NE,Pioneer 5454,,,100,8.033,,,45.917,25.072,0.9883840000000002,,4.0,2.2,5.999,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-01,91.0,NE,Pioneer 5454,,,100,13.352,,,65.428,0.0,,,4.0,2.2,6.881,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-02,92.0,NE,Pioneer 5454,15.05,,100,,,1.0,,0.0,0.0,2.432591586,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-03,93.0,NE,Pioneer 5454,,,100,,,,,16.128,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-04,94.0,NE,Pioneer 5454,,,100,11.254,,,80.679,1.569,,,4.0,2.2,4.659,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-05,95.0,NE,Pioneer 5454,,,100,10.118,,,53.044,0.0,,,4.0,2.2,8.963,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-06,96.0,NE,Pioneer 5454,,,100,6.585,,,57.056,0.0,,,4.0,2.2,3.426,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-07,97.0,NE,Pioneer 5454,,,100,10.44,,,64.809,12.449,0.4901119999999996,,4.0,2.2,6.094,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-08,98.0,NE,Pioneer 5454,,,100,0.579,,,94.947,7.266,,,4.0,2.2,6.001,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-09,99.0,NE,Pioneer 5454,,,100,-0.019,,,100.315,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-10,100.0,NE,Pioneer 5454,,0.9548908232500004,100,3.237,,,101.313,1.7,,,4.0,2.2,5.629,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-11,101.0,NE,Pioneer 5454,,1.3645267335000009,100,-4.66,,,85.672,0.0,,,4.0,2.2,7.388,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-12,102.0,NE,Pioneer 5454,,3.44009031975,100,-3.551,,,67.578,0.0,,,4.0,2.2,4.423,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-13,103.0,NE,Pioneer 5454,,1.8794650612500008,100,0.385,,,76.906,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-14,104.0,NE,Pioneer 5454,,3.556878417749998,100,7.797,,,59.569,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-15,105.0,NE,Pioneer 5454,,3.476140734499999,100,13.338,,,46.949,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-16,106.0,NE,Pioneer 5454,,2.8643508092499976,100,9.391,,,77.022,0.0,,,4.0,2.2,4.453,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-17,107.0,NE,Pioneer 5454,,2.7862005745000005,100,11.673,,,77.572,26.36,1.0377919999999992,,4.0,2.2,3.501,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-18,108.0,NE,Pioneer 5454,,2.3707493057500004,100,13.061,,,73.055,0.0,,,4.0,2.2,4.936,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-19,109.0,NE,Pioneer 5454,,3.919439077749999,100,15.714,,,58.472,0.0,,,4.0,2.2,2.91,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-20,110.0,NE,Pioneer 5454,,3.592250598999999,100,16.945,,,47.945,0.0,,,4.0,2.2,3.844,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-21,111.0,NE,Pioneer 5454,,2.6715952059999992,100,15.589,,,61.115,26.2,0.9888960000000004,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-22,112.0,NE,Pioneer 5454,,2.642094243250001,100,9.709,,,81.096,0.86,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-23,113.0,NE,Pioneer 5454,,3.6498354760000007,100,10.362,,,65.893,0.33,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-24,114.0,NE,Pioneer 5454,,0.5516219222500001,100,5.972,,,96.777,34.682,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-25,115.0,NE,Pioneer 5454,,0.3807094409999998,100,0.798,,,100.373,58.465,,,4.0,2.2,6.978,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-26,116.0,NE,Pioneer 5454,,0.5412299007499999,100,2.729,,,100.629,5.803,,,4.0,2.2,3.65,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-27,117.0,NE,Pioneer 5454,,4.790309744499998,100,8.0,,,78.003,0.0,,,4.0,2.2,2.653,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-28,118.0,NE,Pioneer 5454,,4.45107858125,100,12.682,,,76.581,6.145,,,4.0,2.2,3.595,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-29,119.0,NE,Pioneer 5454,,3.95756685275,100,16.249,,,64.343,0.0,,,4.0,2.2,4.717,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-04-30,120.0,NE,Pioneer 5454,,3.789509881499999,100,13.656,,,67.179,0.0,,,4.0,2.2,3.046,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-01,121.0,NE,Pioneer 5454,21.45,4.385806404000004,100,17.049,,1.0,59.23,0.0,,2.286274804,4.0,2.2,6.258,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-02,122.0,NE,Pioneer 5454,,4.399939250000001,100,12.779,,,44.591,0.0,,,4.0,2.2,4.097,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-03,123.0,NE,Pioneer 5454,,3.940264816249999,100,10.7,,,61.751,0.0,,,4.0,2.2,3.142,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-04,124.0,NE,Pioneer 5454,,3.5928238289999985,100,15.797,,,60.048,0.0,,,4.0,2.2,6.147,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-05,125.0,NE,Pioneer 5454,,4.37346636475,100,18.18,,,57.012,0.0,,,4.0,2.2,4.731,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-06,126.0,NE,Pioneer 5454,,3.9113485547500018,100,16.783,,,79.446,1.92,,,4.0,2.2,3.497,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-07,127.0,NE,Pioneer 5454,,3.159478208250001,100,17.498,,,83.777,0.0,,,4.0,2.2,3.731,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-08,128.0,NE,Pioneer 5454,,1.4617253280000002,100,14.091,,,86.504,26.48,1.0364800000000007,,4.0,2.2,4.484,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-09,129.0,NE,Pioneer 5454,,4.321815781499997,100,12.487,,,65.778,0.0,,,4.0,2.2,2.42,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-10,130.0,NE,Pioneer 5454,,4.29396202375,100,13.099,,,69.001,0.0,,,4.0,2.2,3.658,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-11,131.0,NE,Pioneer 5454,,3.293454793999999,100,14.944,,,69.439,4.76,,,4.0,2.2,3.144,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-12,132.0,NE,Pioneer 5454,,3.201239044499999,100,11.595,,,71.299,17.39,0.6844800000000004,,4.0,2.2,3.379,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-13,133.0,NE,Pioneer 5454,,4.370350340999998,100,17.142,,,66.791,0.0,,,4.0,2.2,2.897,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-14,134.0,NE,Pioneer 5454,37.6,4.0813664780000005,100,17.321,,2.0,57.087,0.0,,4.044143555,4.0,2.2,3.174,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-15,135.0,NE,Pioneer 5454,,3.519208994,100,17.025,,,77.905,0.0,,,4.0,2.2,2.119,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-16,136.0,NE,Pioneer 5454,,4.551264754750001,100,17.863,,,75.286,18.82,0.7411200000000002,,4.0,2.2,3.275,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-17,137.0,NE,Pioneer 5454,,4.600226576750003,100,20.504,,,63.647,0.0,,,4.0,2.2,3.262,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-18,138.0,NE,Pioneer 5454,,4.313157381750002,100,21.552,,,60.823,1.02,,,4.0,2.2,3.494,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-19,139.0,NE,Pioneer 5454,,1.1584239817499993,100,11.158,,,88.316,5.9,,,4.0,2.2,5.036,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-20,140.0,NE,Pioneer 5454,,2.5181439622499995,100,13.541,,,83.974,19.64,0.77312,,4.0,2.2,2.234,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-21,141.0,NE,Pioneer 5454,,1.1947556915000006,100,13.445,,,97.894,2.45,,,4.0,2.2,3.457,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-22,142.0,NE,Pioneer 5454,,4.3464162595,100,17.402,,,87.052,0.0,,,4.0,2.2,5.548,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-23,143.0,NE,Pioneer 5454,,3.2933270475,100,19.394,,,73.186,21.97,0.7001600000000001,,4.0,2.2,3.723,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-24,144.0,NE,Pioneer 5454,,4.772262276249996,100,18.571,,,75.685,0.42,,,4.0,2.2,2.783,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-25,145.0,NE,Pioneer 5454,,4.891502029750002,100,19.228,,,62.77,1.55,,,4.0,2.2,4.228,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-26,146.0,NE,Pioneer 5454,,4.605491381750001,100,18.175,,,62.939,0.0,,,4.0,2.2,2.679,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-27,147.0,NE,Pioneer 5454,,4.174283769249999,100,15.966,,,63.312,25.64,1.0095999999999994,,4.0,2.2,3.276,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-28,148.0,NE,Pioneer 5454,,2.3961551319999996,100,14.75,,,86.514,6.1,,,4.0,2.2,3.228,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-29,149.0,NE,Pioneer 5454,,4.056354032500001,100,17.958,,,85.036,17.52,,,4.0,2.2,4.317,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-30,150.0,NE,Pioneer 5454,,2.676984931249999,100,15.959,,,93.636,0.61,,,4.0,2.2,3.261,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-05-31,151.0,NE,Pioneer 5454,,4.9525314405000005,100,17.544,,,83.737,0.0,,,4.0,2.2,2.054,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-01,152.0,NE,Pioneer 5454,,4.89775921425,100,21.059,,,74.036,0.0,,,4.0,2.2,3.849,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-02,153.0,NE,Pioneer 5454,59.65,3.69382406225,100,20.837,,3.0,79.938,0.0,,4.556230327,4.0,2.2,4.348,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-03,154.0,NE,Pioneer 5454,,3.4151259537499996,100,19.151,,,85.118,0.0,,,4.0,2.2,1.884,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-04,155.0,NE,Pioneer 5454,,4.8067277965000015,100,18.778,,,78.276,0.0,,,4.0,2.2,2.796,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-05,156.0,NE,Pioneer 5454,,2.145569100500001,100,18.353,,,84.51,0.0,,,4.0,2.2,3.675,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-06,157.0,NE,Pioneer 5454,,3.5609965300000006,100,19.474,,,85.265,0.0,,,4.0,2.2,3.623,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-07,158.0,NE,Pioneer 5454,,3.2845759467500004,100,19.334,,,81.988,0.0,,,4.0,2.2,3.1,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-06-08,159.0,NE,Pioneer 5454,,3.21273812475,100,16.457,,,91.666,22.69,,,4.0,2.2,3.045,,BushlandLysimeters_1997,BushlandLysimeters,1997
