Timestamp,Day of Year,Plot,Average Air Temperature (Deg C),Total Precipitation (mm),Alfalfa variety,Fall Dormancy*,Average Wind Speed (m/s),Dry yield (ton/ha),experiment_info,Plant height (cm),Total Solar Radiation (kW-hr/m2),Growth stage,Irrig. Treatment (%),Irrig. amount (in),Ave. SWD (%),Relative Humidity (%),Winterhardiness**,Leaf Area Index (LAI),location,year
1997-02-04,35.0,NE,1.877,0.0,Pioneer 5454,4.0,4.077,,BushlandLysimeters_1997,,,,100,,,48.438,2.2,,BushlandLysimeters,1997
1997-02-05,36.0,NE,0.118,0.455,Pioneer 5454,4.0,4.834,,BushlandLysimeters_1997,,,,100,,,71.17,2.2,,BushlandLysimeters,1997
1997-02-06,37.0,NE,-0.203,0.195,Pioneer 5454,4.0,4.198,,BushlandLysimeters_1997,,,,100,,,99.229,2.2,,BushlandLysimeters,1997
1997-02-07,38.0,NE,-2.373,1.658,Pioneer 5454,4.0,4.687,,BushlandLysimeters_1997,,,,100,,,87.268,2.2,,BushlandLysimeters,1997
1997-02-08,39.0,NE,-3.265,0.0,Pioneer 5454,4.0,2.539,,BushlandLysimeters_1997,,,,100,,,85.019,2.2,,BushlandLysimeters,1997
1997-02-09,40.0,NE,-2.859,0.0,Pioneer 5454,4.0,2.989,,BushlandLysimeters_1997,,,,100,,,88.157,2.2,,BushlandLysimeters,1997
1997-02-10,41.0,NE,0.479,0.0,Pioneer 5454,4.0,2.876,,BushlandLysimeters_1997,,,,100,,,68.037,2.2,,BushlandLysimeters,1997
1997-02-11,42.0,NE,4.894,0.0,Pioneer 5454,4.0,5.33,,BushlandLysimeters_1997,,,,100,,,68.788,2.2,,BushlandLysimeters,1997
1997-02-12,43.0,NE,-2.237,0.0,Pioneer 5454,4.0,5.19,,BushlandLysimeters_1997,,,,100,,,82.747,2.2,,BushlandLysimeters,1997
1997-02-13,44.0,NE,,1.831,Pioneer 5454,4.0,3.421,,BushlandLysimeters_1997,,,,100,,,,2.2,,BushlandLysimeters,1997
1997-02-14,45.0,NE,1.803,0.0,Pioneer 5454,4.0,2.557,,BushlandLysimeters_1997,,,,100,,,68.014,2.2,,BushlandLysimeters,1997
1997-02-15,46.0,NE,5.255,0.0,Pioneer 5454,4.0,3.836,,BushlandLysimeters_1997,,,,100,,,55.679,2.2,,BushlandLysimeters,1997
1997-02-16,47.0,NE,8.441,0.0,Pioneer 5454,4.0,4.947,,BushlandLysimeters_1997,,,,100,,,48.017,2.2,,BushlandLysimeters,1997
1997-02-17,48.0,NE,10.504,0.0,Pioneer 5454,4.0,7.317,,BushlandLysimeters_1997,,,,100,,,48.724,2.2,,BushlandLysimeters,1997
1997-02-18,49.0,NE,9.347,0.0,Pioneer 5454,4.0,4.698,,BushlandLysimeters_1997,,,,100,,,69.665,2.2,,BushlandLysimeters,1997
1997-02-19,50.0,NE,4.219,2.991,Pioneer 5454,4.0,5.195,,BushlandLysimeters_1997,,,,100,,,99.131,2.2,,BushlandLysimeters,1997
1997-02-20,51.0,NE,5.259,0.159,Pioneer 5454,4.0,3.897,,BushlandLysimeters_1997,,,,100,,,99.911,2.2,,BushlandLysimeters,1997
1997-02-21,52.0,NE,2.065,0.0,Pioneer 5454,4.0,5.691,,BushlandLysimeters_1997,,,,100,,,61.435,2.2,,BushlandLysimeters,1997
1997-02-22,53.0,NE,1.379,0.0,Pioneer 5454,4.0,2.838,,BushlandLysimeters_1997,,,,100,,,57.609,2.2,,BushlandLysimeters,1997
1997-02-23,54.0,NE,2.738,0.102,Pioneer 5454,4.0,5.013,,BushlandLysimeters_1997,,,,100,,,66.323,2.2,,BushlandLysimeters,1997
1997-02-24,55.0,NE,-5.039,0.0,Pioneer 5454,4.0,7.104,,BushlandLysimeters_1997,,,,100,,,90.636,2.2,,BushlandLysimeters,1997
1997-02-25,56.0,NE,,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,,2.2,,BushlandLysimeters,1997
1997-02-26,57.0,NE,-2.431,0.0,Pioneer 5454,4.0,3.89,,BushlandLysimeters_1997,,,,100,,,95.701,2.2,,BushlandLysimeters,1997
1997-02-27,58.0,NE,1.648,0.0,Pioneer 5454,4.0,5.623,,BushlandLysimeters_1997,,,,100,,,76.457,2.2,,BushlandLysimeters,1997
1997-02-28,59.0,NE,6.788,0.0,Pioneer 5454,4.0,6.002,,BushlandLysimeters_1997,,,,100,,,77.471,2.2,,BushlandLysimeters,1997
1997-03-01,60.0,NE,2.302,0.0,Pioneer 5454,4.0,4.307,,BushlandLysimeters_1997,,,,100,,,70.57,2.2,,BushlandLysimeters,1997
1997-03-02,61.0,NE,3.229,0.0,Pioneer 5454,4.0,4.479,,BushlandLysimeters_1997,,,,100,,,57.45,2.2,,BushlandLysimeters,1997
1997-03-03,62.0,NE,10.389,0.0,Pioneer 5454,4.0,5.251,,BushlandLysimeters_1997,,,,100,,,33.654,2.2,,BushlandLysimeters,1997
1997-03-04,63.0,NE,5.379,0.0,Pioneer 5454,4.0,3.572,,BushlandLysimeters_1997,,,,100,,,53.324,2.2,,BushlandLysimeters,1997
1997-03-05,64.0,NE,1.855,0.0,Pioneer 5454,4.0,3.419,,BushlandLysimeters_1997,,,,100,,,54.992,2.2,,BushlandLysimeters,1997
1997-03-06,65.0,NE,5.893,0.0,Pioneer 5454,4.0,6.727,,BushlandLysimeters_1997,,,,100,,,39.064,2.2,,BushlandLysimeters,1997
1997-03-07,66.0,NE,9.06,0.0,Pioneer 5454,4.0,3.741,,BushlandLysimeters_1997,,,,100,,,33.178,2.2,,BushlandLysimeters,1997
1997-03-08,67.0,NE,,0.0,Pioneer 5454,4.0,5.777,,BushlandLysimeters_1997,,,,100,,,,2.2,,BushlandLysimeters,1997
1997-03-09,68.0,NE,9.295,0.0,Pioneer 5454,4.0,5.199,,BushlandLysimeters_1997,,,,100,,,57.343,2.2,,BushlandLysimeters,1997
1997-03-10,69.0,NE,10.005,0.0,Pioneer 5454,4.0,4.172,,BushlandLysimeters_1997,,,,100,,,41.401,2.2,,BushlandLysimeters,1997
1997-03-11,70.0,NE,11.745,0.0,Pioneer 5454,4.0,2.829,,BushlandLysimeters_1997,,,,100,,,36.28,2.2,,BushlandLysimeters,1997
1997-03-12,71.0,NE,12.691,0.0,Pioneer 5454,4.0,4.957,,BushlandLysimeters_1997,,,,100,,,70.864,2.2,,BushlandLysimeters,1997
1997-03-13,72.0,NE,8.817,13.857,Pioneer 5454,4.0,6.862,,BushlandLysimeters_1997,,,,100,0.5457599999999998,58.27,72.678,2.2,,BushlandLysimeters,1997
1997-03-14,73.0,NE,-0.712,0.0,Pioneer 5454,4.0,6.167,,BushlandLysimeters_1997,,,,100,,,50.281,2.2,,BushlandLysimeters,1997
1997-03-15,74.0,NE,1.719,0.0,Pioneer 5454,4.0,6.065,,BushlandLysimeters_1997,,,,100,,,49.766,2.2,,BushlandLysimeters,1997
1997-03-16,75.0,NE,9.23,0.0,Pioneer 5454,4.0,6.773,,BushlandLysimeters_1997,,,,100,,,63.038,2.2,,BushlandLysimeters,1997
1997-03-17,76.0,NE,15.033,0.0,Pioneer 5454,4.0,5.776,,BushlandLysimeters_1997,,,,100,,,48.122,2.2,,BushlandLysimeters,1997
1997-03-18,77.0,NE,11.373,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,46.216,2.2,,BushlandLysimeters,1997
1997-03-19,78.0,NE,11.241,24.34,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,0.9592320000000004,,46.553,2.2,,BushlandLysimeters,1997
1997-03-20,79.0,NE,16.34,0.0,Pioneer 5454,4.0,2.401,,BushlandLysimeters_1997,,,,100,,,29.318,2.2,,BushlandLysimeters,1997
1997-03-21,80.0,NE,16.537,0.0,Pioneer 5454,4.0,5.325,,BushlandLysimeters_1997,,,,100,,,33.099,2.2,,BushlandLysimeters,1997
1997-03-22,81.0,NE,9.555,0.0,Pioneer 5454,4.0,2.813,,BushlandLysimeters_1997,,,,100,,,43.427,2.2,,BushlandLysimeters,1997
1997-03-23,82.0,NE,13.202,0.0,Pioneer 5454,4.0,6.072,,BushlandLysimeters_1997,,,,100,,,44.922,2.2,,BushlandLysimeters,1997
1997-03-24,83.0,NE,14.96,0.0,Pioneer 5454,4.0,8.38,,BushlandLysimeters_1997,,,,100,,,39.143,2.2,,BushlandLysimeters,1997
1997-03-25,84.0,NE,5.134,23.152,Pioneer 5454,4.0,6.497,,BushlandLysimeters_1997,,,,100,0.9114880000000002,,50.689,2.2,,BushlandLysimeters,1997
1997-03-26,85.0,NE,7.835,0.0,Pioneer 5454,4.0,3.987,,BushlandLysimeters_1997,,,,100,,,46.112,2.2,,BushlandLysimeters,1997
1997-03-27,86.0,NE,12.41,0.0,Pioneer 5454,4.0,7.728,,BushlandLysimeters_1997,,,,100,,,48.821,2.2,,BushlandLysimeters,1997
1997-03-28,87.0,NE,11.362,0.0,Pioneer 5454,4.0,4.247,,BushlandLysimeters_1997,,,,100,,,38.08,2.2,,BushlandLysimeters,1997
1997-03-29,88.0,NE,10.579,0.0,Pioneer 5454,4.0,6.753,,BushlandLysimeters_1997,,,,100,,,49.247,2.2,,BushlandLysimeters,1997
1997-03-30,89.0,NE,6.099,0.0,Pioneer 5454,4.0,2.56,,BushlandLysimeters_1997,,,,100,,,52.348,2.2,,BushlandLysimeters,1997
1997-03-31,90.0,NE,8.033,25.072,Pioneer 5454,4.0,5.999,,BushlandLysimeters_1997,,,,100,0.9883840000000002,,45.917,2.2,,BushlandLysimeters,1997
1997-04-01,91.0,NE,13.352,0.0,Pioneer 5454,4.0,6.881,,BushlandLysimeters_1997,,,,100,,,65.428,2.2,,BushlandLysimeters,1997
1997-04-02,92.0,NE,,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,15.05,,1.0,100,0.0,,,2.2,2.432591586,BushlandLysimeters,1997
1997-04-03,93.0,NE,,16.128,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,,2.2,,BushlandLysimeters,1997
1997-04-04,94.0,NE,11.254,1.569,Pioneer 5454,4.0,4.659,,BushlandLysimeters_1997,,,,100,,,80.679,2.2,,BushlandLysimeters,1997
1997-04-05,95.0,NE,10.118,0.0,Pioneer 5454,4.0,8.963,,BushlandLysimeters_1997,,,,100,,,53.044,2.2,,BushlandLysimeters,1997
1997-04-06,96.0,NE,6.585,0.0,Pioneer 5454,4.0,3.426,,BushlandLysimeters_1997,,,,100,,,57.056,2.2,,BushlandLysimeters,1997
1997-04-07,97.0,NE,10.44,12.449,Pioneer 5454,4.0,6.094,,BushlandLysimeters_1997,,,,100,0.4901119999999996,,64.809,2.2,,BushlandLysimeters,1997
1997-04-08,98.0,NE,0.579,7.266,Pioneer 5454,4.0,6.001,,BushlandLysimeters_1997,,,,100,,,94.947,2.2,,BushlandLysimeters,1997
1997-04-09,99.0,NE,-0.019,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,100.315,2.2,,BushlandLysimeters,1997
1997-04-10,100.0,NE,3.237,1.7,Pioneer 5454,4.0,5.629,,BushlandLysimeters_1997,,0.9548908232500004,,100,,,101.313,2.2,,BushlandLysimeters,1997
1997-04-11,101.0,NE,-4.66,0.0,Pioneer 5454,4.0,7.388,,BushlandLysimeters_1997,,1.3645267335000009,,100,,,85.672,2.2,,BushlandLysimeters,1997
1997-04-12,102.0,NE,-3.551,0.0,Pioneer 5454,4.0,4.423,,BushlandLysimeters_1997,,3.44009031975,,100,,,67.578,2.2,,BushlandLysimeters,1997
1997-04-13,103.0,NE,0.385,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,1.8794650612500008,,100,,,76.906,2.2,,BushlandLysimeters,1997
1997-04-14,104.0,NE,7.797,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,3.556878417749998,,100,,,59.569,2.2,,BushlandLysimeters,1997
1997-04-15,105.0,NE,13.338,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,3.476140734499999,,100,,,46.949,2.2,,BushlandLysimeters,1997
1997-04-16,106.0,NE,9.391,0.0,Pioneer 5454,4.0,4.453,,BushlandLysimeters_1997,,2.8643508092499976,,100,,,77.022,2.2,,BushlandLysimeters,1997
1997-04-17,107.0,NE,11.673,26.36,Pioneer 5454,4.0,3.501,,BushlandLysimeters_1997,,2.7862005745000005,,100,1.0377919999999992,,77.572,2.2,,BushlandLysimeters,1997
1997-04-18,108.0,NE,13.061,0.0,Pioneer 5454,4.0,4.936,,BushlandLysimeters_1997,,2.3707493057500004,,100,,,73.055,2.2,,BushlandLysimeters,1997
1997-04-19,109.0,NE,15.714,0.0,Pioneer 5454,4.0,2.91,,BushlandLysimeters_1997,,3.919439077749999,,100,,,58.472,2.2,,BushlandLysimeters,1997
1997-04-20,110.0,NE,16.945,0.0,Pioneer 5454,4.0,3.844,,BushlandLysimeters_1997,,3.592250598999999,,100,,,47.945,2.2,,BushlandLysimeters,1997
1997-04-21,111.0,NE,15.589,26.2,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,2.6715952059999992,,100,0.9888960000000004,,61.115,2.2,,BushlandLysimeters,1997
1997-04-22,112.0,NE,9.709,0.86,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,2.642094243250001,,100,,,81.096,2.2,,BushlandLysimeters,1997
1997-04-23,113.0,NE,10.362,0.33,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,3.6498354760000007,,100,,,65.893,2.2,,BushlandLysimeters,1997
1997-04-24,114.0,NE,5.972,34.682,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,0.5516219222500001,,100,,,96.777,2.2,,BushlandLysimeters,1997
1997-04-25,115.0,NE,0.798,58.465,Pioneer 5454,4.0,6.978,,BushlandLysimeters_1997,,0.3807094409999998,,100,,,100.373,2.2,,BushlandLysimeters,1997
1997-04-26,116.0,NE,2.729,5.803,Pioneer 5454,4.0,3.65,,BushlandLysimeters_1997,,0.5412299007499999,,100,,,100.629,2.2,,BushlandLysimeters,1997
1997-04-27,117.0,NE,8.0,0.0,Pioneer 5454,4.0,2.653,,BushlandLysimeters_1997,,4.790309744499998,,100,,,78.003,2.2,,BushlandLysimeters,1997
1997-04-28,118.0,NE,12.682,6.145,Pioneer 5454,4.0,3.595,,BushlandLysimeters_1997,,4.45107858125,,100,,,76.581,2.2,,BushlandLysimeters,1997
1997-04-29,119.0,NE,16.249,0.0,Pioneer 5454,4.0,4.717,,BushlandLysimeters_1997,,3.95756685275,,100,,,64.343,2.2,,BushlandLysimeters,1997
1997-04-30,120.0,NE,13.656,0.0,Pioneer 5454,4.0,3.046,,BushlandLysimeters_1997,,3.789509881499999,,100,,,67.179,2.2,,BushlandLysimeters,1997
1997-05-01,121.0,NE,17.049,0.0,Pioneer 5454,4.0,6.258,,BushlandLysimeters_1997,21.45,4.385806404000004,1.0,100,,,59.23,2.2,2.286274804,BushlandLysimeters,1997
1997-05-02,122.0,NE,12.779,0.0,Pioneer 5454,4.0,4.097,,BushlandLysimeters_1997,,4.399939250000001,,100,,,44.591,2.2,,BushlandLysimeters,1997
1997-05-03,123.0,NE,10.7,0.0,Pioneer 5454,4.0,3.142,,BushlandLysimeters_1997,,3.940264816249999,,100,,,61.751,2.2,,BushlandLysimeters,1997
1997-05-04,124.0,NE,15.797,0.0,Pioneer 5454,4.0,6.147,,BushlandLysimeters_1997,,3.5928238289999985,,100,,,60.048,2.2,,BushlandLysimeters,1997
1997-05-05,125.0,NE,18.18,0.0,Pioneer 5454,4.0,4.731,,BushlandLysimeters_1997,,4.37346636475,,100,,,57.012,2.2,,BushlandLysimeters,1997
1997-05-06,126.0,NE,16.783,1.92,Pioneer 5454,4.0,3.497,,BushlandLysimeters_1997,,3.9113485547500018,,100,,,79.446,2.2,,BushlandLysimeters,1997
1997-05-07,127.0,NE,17.498,0.0,Pioneer 5454,4.0,3.731,,BushlandLysimeters_1997,,3.159478208250001,,100,,,83.777,2.2,,BushlandLysimeters,1997
1997-05-08,128.0,NE,14.091,26.48,Pioneer 5454,4.0,4.484,,BushlandLysimeters_1997,,1.4617253280000002,,100,1.0364800000000007,,86.504,2.2,,BushlandLysimeters,1997
1997-05-09,129.0,NE,12.487,0.0,Pioneer 5454,4.0,2.42,,BushlandLysimeters_1997,,4.321815781499997,,100,,,65.778,2.2,,BushlandLysimeters,1997
1997-05-10,130.0,NE,13.099,0.0,Pioneer 5454,4.0,3.658,,BushlandLysimeters_1997,,4.29396202375,,100,,,69.001,2.2,,BushlandLysimeters,1997
1997-05-11,131.0,NE,14.944,4.76,Pioneer 5454,4.0,3.144,,BushlandLysimeters_1997,,3.293454793999999,,100,,,69.439,2.2,,BushlandLysimeters,1997
1997-05-12,132.0,NE,11.595,17.39,Pioneer 5454,4.0,3.379,,BushlandLysimeters_1997,,3.201239044499999,,100,0.6844800000000004,,71.299,2.2,,BushlandLysimeters,1997
1997-05-13,133.0,NE,17.142,0.0,Pioneer 5454,4.0,2.897,,BushlandLysimeters_1997,,4.370350340999998,,100,,,66.791,2.2,,BushlandLysimeters,1997
1997-05-14,134.0,NE,17.321,0.0,Pioneer 5454,4.0,3.174,,BushlandLysimeters_1997,37.6,4.0813664780000005,2.0,100,,,57.087,2.2,4.044143555,BushlandLysimeters,1997
1997-05-15,135.0,NE,17.025,0.0,Pioneer 5454,4.0,2.119,,BushlandLysimeters_1997,,3.519208994,,100,,,77.905,2.2,,BushlandLysimeters,1997
1997-05-16,136.0,NE,17.863,18.82,Pioneer 5454,4.0,3.275,,BushlandLysimeters_1997,,4.551264754750001,,100,0.7411200000000002,,75.286,2.2,,BushlandLysimeters,1997
1997-05-17,137.0,NE,20.504,0.0,Pioneer 5454,4.0,3.262,,BushlandLysimeters_1997,,4.600226576750003,,100,,,63.647,2.2,,BushlandLysimeters,1997
1997-05-18,138.0,NE,21.552,1.02,Pioneer 5454,4.0,3.494,,BushlandLysimeters_1997,,4.313157381750002,,100,,,60.823,2.2,,BushlandLysimeters,1997
1997-05-19,139.0,NE,11.158,5.9,Pioneer 5454,4.0,5.036,,BushlandLysimeters_1997,,1.1584239817499993,,100,,,88.316,2.2,,BushlandLysimeters,1997
1997-05-20,140.0,NE,13.541,19.64,Pioneer 5454,4.0,2.234,,BushlandLysimeters_1997,,2.5181439622499995,,100,0.77312,,83.974,2.2,,BushlandLysimeters,1997
1997-05-21,141.0,NE,13.445,2.45,Pioneer 5454,4.0,3.457,,BushlandLysimeters_1997,,1.1947556915000006,,100,,,97.894,2.2,,BushlandLysimeters,1997
1997-05-22,142.0,NE,17.402,0.0,Pioneer 5454,4.0,5.548,,BushlandLysimeters_1997,,4.3464162595,,100,,,87.052,2.2,,BushlandLysimeters,1997
1997-05-23,143.0,NE,19.394,21.97,Pioneer 5454,4.0,3.723,,BushlandLysimeters_1997,,3.2933270475,,100,0.7001600000000001,,73.186,2.2,,BushlandLysimeters,1997
1997-05-24,144.0,NE,18.571,0.42,Pioneer 5454,4.0,2.783,,BushlandLysimeters_1997,,4.772262276249996,,100,,,75.685,2.2,,BushlandLysimeters,1997
1997-05-25,145.0,NE,19.228,1.55,Pioneer 5454,4.0,4.228,,BushlandLysimeters_1997,,4.891502029750002,,100,,,62.77,2.2,,BushlandLysimeters,1997
1997-05-26,146.0,NE,18.175,0.0,Pioneer 5454,4.0,2.679,,BushlandLysimeters_1997,,4.605491381750001,,100,,,62.939,2.2,,BushlandLysimeters,1997
1997-05-27,147.0,NE,15.966,25.64,Pioneer 5454,4.0,3.276,,BushlandLysimeters_1997,,4.174283769249999,,100,1.0095999999999994,,63.312,2.2,,BushlandLysimeters,1997
1997-05-28,148.0,NE,14.75,6.1,Pioneer 5454,4.0,3.228,,BushlandLysimeters_1997,,2.3961551319999996,,100,,,86.514,2.2,,BushlandLysimeters,1997
1997-05-29,149.0,NE,17.958,17.52,Pioneer 5454,4.0,4.317,,BushlandLysimeters_1997,,4.056354032500001,,100,,,85.036,2.2,,BushlandLysimeters,1997
1997-05-30,150.0,NE,15.959,0.61,Pioneer 5454,4.0,3.261,,BushlandLysimeters_1997,,2.676984931249999,,100,,,93.636,2.2,,BushlandLysimeters,1997
1997-05-31,151.0,NE,17.544,0.0,Pioneer 5454,4.0,2.054,,BushlandLysimeters_1997,,4.9525314405000005,,100,,,83.737,2.2,,BushlandLysimeters,1997
1997-06-01,152.0,NE,21.059,0.0,Pioneer 5454,4.0,3.849,,BushlandLysimeters_1997,,4.89775921425,,100,,,74.036,2.2,,BushlandLysimeters,1997
1997-06-02,153.0,NE,20.837,0.0,Pioneer 5454,4.0,4.348,,BushlandLysimeters_1997,59.65,3.69382406225,3.0,100,,,79.938,2.2,4.556230327,BushlandLysimeters,1997
1997-06-03,154.0,NE,19.151,0.0,Pioneer 5454,4.0,1.884,,BushlandLysimeters_1997,,3.4151259537499996,,100,,,85.118,2.2,,BushlandLysimeters,1997
1997-06-04,155.0,NE,18.778,0.0,Pioneer 5454,4.0,2.796,,BushlandLysimeters_1997,,4.8067277965000015,,100,,,78.276,2.2,,BushlandLysimeters,1997
1997-06-05,156.0,NE,18.353,0.0,Pioneer 5454,4.0,3.675,,BushlandLysimeters_1997,,2.145569100500001,,100,,,84.51,2.2,,BushlandLysimeters,1997
1997-06-06,157.0,NE,19.474,0.0,Pioneer 5454,4.0,3.623,,BushlandLysimeters_1997,,3.5609965300000006,,100,,,85.265,2.2,,BushlandLysimeters,1997
1997-06-07,158.0,NE,19.334,0.0,Pioneer 5454,4.0,3.1,,BushlandLysimeters_1997,,3.2845759467500004,,100,,,81.988,2.2,,BushlandLysimeters,1997
1997-06-08,159.0,NE,16.457,22.69,Pioneer 5454,4.0,3.045,,BushlandLysimeters_1997,,3.21273812475,,100,,,91.666,2.2,,BushlandLysimeters,1997
